code,GDP,GDP_per_capita,tier
TMN,1629170225345.52,3827.11624026457,tier3
TON,0.0,0.0,tier3
TSA,4475567635413.06,2308.71977654436,tier3
TSS,2032749202553.06,1636.80874120826,tier3
TTO,28139944790.2911,18332.9640176054,tier2
TUN,48529595416.6533,3895.38663874079,tier3
TUR,1108022373259.51,12985.7531497962,tier2
TUV,62280311.5852172,5465.10280670561,tier2
TZA,79158286333.524,1211.05859375,tier3
UGA,49272882213.623,1014.21397773156,tier3
UKR,178757021386.809,5181.36279296875,tier2
UMC,29403677430761.2,10461.75261677,tier2
URY,77240831587.167,22564.5324620687,tier1
USA,27360935000000.0,81695.1870713305,tier1
UZB,90889149306.7313,2496.10775758036,tier3
VCT,1065962962.96296,10279.4939435955,tier2
VEN,0.0,0.0,tier3
VGB,0.0,0.0,tier3
VIR,0.0,0.0,tier3
VNM,429716969049.593,4346.76849237821,tier3
VUT,1126313359.21923,3367.09463871866,tier3
WLD,105435039507024.0,13138.3275456864,tier2
WSM,934100336.275654,4139.02958723,tier3
XKX,10438351483.1677,5943.12571420876,tier2
YEM,0.0,533.367123496464,tier3
ZAF,377781600985.873,6253.16161272014,tier2
ZMB,28162630953.9285,1369.12936484937,tier3
ZWE,26538273498.8461,1592.41657368542,tier3
